Order_ID,Order_Date,Customer_ID,City,Province,Category,Product_Name,Price,Quantity,Discount_%,Delivery_Charges,Payment_Method,Order_Status,Rating,Sales,Profit
ORD100036,2025-06-19,CUST2597,Peshawar,Khyber Pakhtunkhwa,Mobile Accessories,USB Cable,2318,1,0,300,Easypaisa,Delivered,5,2618,323.94
ORD100037,2025-05-14,CUST4869,Islamabad,Islamabad Capital Territory,Home Decor,Lamp,1539,4,0,250,COD,Delivered,4,6406,919.27
ORD100038,2025-11-27,CUST2529,Lahore,Punjab,Grocery,Cooking Oil,1103,4,0,250,Card,Delivered,3,6206.2,1183.78
ORD100039,2025-12-14,CUST2400,Karachi,Sindh,Books,Notebook,1128,1,0,150,COD,Delivered,4,1503.6,263.96
ORD100040,2025-10-10,CUST3680,Hyderabad,Sindh,Books,Story Book,819,2,0,150,COD,Cancelled,,0,-75
ORD100041,2025-04-26,CUST2479,Quetta,Balochistan,Fashion,Shoes,1319,2,10,200,COD,Delivered,3,3167.75,348.93
ORD100042,2025-05-17,CUST4748,Peshawar,Khyber Pakhtunkhwa,Grocery,Tea Pack,771,2,15,150,COD,Delivered,5,1460.7,235.36
ORD100043,2025-08-13,CUST4898,Hyderabad,Sindh,Grocery,Tea Pack,1056,3,20,200,JazzCash,Delivered,4,2734.4,424.1
ORD100044,2025-06-09,CUST2495,Multan,Punjab,Books,Exam Guide,647,4,5,200,Easypaisa,Delivered,5,2658.6,456.89
ORD100045,2025-08-21,CUST1563,Karachi,Sindh,Sports,Yoga Mat,2688,2,5,200,COD,Delivered,4,5307.2,653.48
ORD100046,2025-09-25,CUST4878,Peshawar,Khyber Pakhtunkhwa,Home Decor,Bedsheet,3035,2,15,300,Easypaisa,Delivered,3,5459.5,591.96
ORD100047,2025-04-23,CUST4296,Karachi,Sindh,Home Decor,Wall Frame,2705,4,10,250,COD,Delivered,4,12422.5,1512.9
ORD100048,2025-05-06,CUST2076,Lahore,Punjab,Electronics,Mouse,6793,2,10,200,COD,Delivered,5,12427.4,941.09
ORD100049,2025-06-21,CUST1835,Faisalabad,Punjab,Grocery,Cooking Oil,2025,3,10,150,JazzCash,Cancelled,,0,-75
ORD100050,2025-07-22,CUST1122,Rawalpindi,Punjab,Electronics,Keyboard,2247,4,10,250,Easypaisa,Delivered,5,8339.2,1386.72
ORD100051,2025-09-12,CUST1197,Karachi,Sindh,Books,Dictionary,856,2,15,200,Card,Delivered,3,1655.2,188.05
ORD100052,2025-08-28,CUST1608,Lahore,Punjab,Grocery,Flour,1788,4,20,250,Card,Delivered,5,5971.6,578.91
ORD100053,2025-07-20,CUST2794,Multan,Punjab,Beauty,Face Wash,1175,1,5,250,COD,Returned,,0,-125
ORD100054,2025-05-28,CUST4002,Karachi,Sindh,Home Decor,Wall Frame,2565,4,20,200,COD,Delivered,5,8408,1747.3
ORD100055,2025-12-12,CUST2734,Peshawar,Khyber Pakhtunkhwa,Electronics,Mouse,3200,4,10,200,Easypaisa,Delivered,4,14024,1839.39
ORD100056,2025-11-04,CUST3976,Faisalabad,Punjab,Fashion,Kurta,2559,1,20,300,COD,Cancelled,,0,-150
ORD100057,2025-05-08,CUST3520,Faisalabad,Punjab,Sports,Cricket Bat,5029,3,10,200,JazzCash,Delivered,5,13778.3,1299.74
ORD100058,2025-05-31,CUST4369,Faisalabad,Punjab,Mobile Accessories,Holder,1841,3,10,300,Easypaisa,Delivered,5,5270.7,962.02
ORD100059,2025-04-09,CUST2016,Peshawar,Khyber Pakhtunkhwa,Sports,Yoga Mat,2733,4,20,200,Easypaisa,Delivered,5,11132,2024.78
ORD100060,2025-03-01,CUST3049,Rawalpindi,Punjab,Home Decor,Curtains,2614,1,0,250,COD,Delivered,3,3517.5,619.92
ORD100061,2025-10-31,CUST4062,Karachi,Sindh,Grocery,Flour,1226,4,15,200,Easypaisa,Delivered,5,4368.4,531.34
ORD100062,2025-01-09,CUST4170,Lahore,Punjab,Fashion,Abaya,2938,1,20,300,COD,Delivered,3,2650.4,439.34
ORD100063,2025-05-27,CUST3101,Peshawar,Khyber Pakhtunkhwa,Books,Dictionary,1064,4,0,250,COD,Delivered,5,4506,821.76
ORD100064,2025-04-30,CUST4991,Islamabad,Islamabad Capital Territory,Grocery,Flour,1324,1,0,250,COD,Delivered,5,1905,160.28
ORD100065,2025-04-26,CUST4183,Multan,Punjab,Beauty,Serum,1942,3,0,150,JazzCash,Delivered,3,7432.5,1228.56
ORD100066,2025-04-09,CUST2884,Rawalpindi,Punjab,Beauty,Serum,2333,1,0,150,COD,Delivered,4,3066.25,388.94
ORD100067,2025-12-04,CUST2704,Hyderabad,Sindh,Books,Notebook,200,1,20,300,COD,Delivered,5,492,-44.12
ORD100068,2025-06-10,CUST3848,Karachi,Sindh,Mobile Accessories,Phone Cover,1293,4,15,150,Easypaisa,Delivered,4,4546.2,785.9
ORD100069,2025-10-04,CUST2158,Karachi,Sindh,Fashion,T-Shirt,2095,4,0,200,COD,Delivered,4,8580,1292.05
ORD100070,2025-07-14,CUST1639,Lahore,Punjab,Home Decor,Bedsheet,1954,1,0,150,Easypaisa,Delivered,5,2104,211.41
ORD100071,2025-02-02,CUST4446,Karachi,Sindh,Home Decor,Cushion,3910,2,15,300,COD,Delivered,5,6947,542.48
ORD100072,2025-01-22,CUST2693,Multan,Punjab,Grocery,Rice Bag,2485,2,15,250,JazzCash,Delivered,5,4474.5,359.56
ORD100073,2025-02-07,CUST4354,Multan,Punjab,Mobile Accessories,Screen Protector,1792,4,10,250,COD,Delivered,5,6701.2,477.52
ORD100074,2025-01-27,CUST4348,Multan,Punjab,Electronics,Mouse,8012,2,5,300,Easypaisa,Delivered,5,15522.8,2721.68
ORD100075,2025-10-13,CUST1452,Karachi,Sindh,Sports,Dumbbell,5171,1,10,250,COD,Delivered,4,4903.9,931.26
ORD100076,2025-11-13,CUST1658,Peshawar,Khyber Pakhtunkhwa,Grocery,Flour,1692,4,10,300,COD,Delivered,5,8523.12,972.02
ORD100077,2025-01-04,CUST4243,Karachi,Sindh,Home Decor,Bedsheet,3247,1,5,250,Card,Delivered,4,3334.65,279.28
ORD100078,2025-08-08,CUST3524,Hyderabad,Sindh,Sports,Gloves,3331,2,20,200,Easypaisa,Delivered,3,5529.6,752.59
ORD100079,2025-02-15,CUST2060,Karachi,Sindh,Grocery,Flour,1106,1,15,200,COD,Delivered,5,1140.1,97.5
ORD100080,2025-10-07,CUST3544,Lahore,Punjab,Mobile Accessories,USB Cable,2249,1,15,300,COD,Delivered,4,2211.65,125.22
ORD100081,2025-10-29,CUST3975,Lahore,Punjab,Beauty,Perfume,1514,1,0,300,COD,Delivered,5,1814,222.25
ORD100082,2025-06-10,CUST4394,Lahore,Punjab,Electronics,Power Bank,8903,4,5,200,COD,Delivered,4,34031.4,6019.97
ORD100083,2025-05-08,CUST1569,Karachi,Sindh,Fashion,T-Shirt,1326,2,5,200,Card,Delivered,3,2719.4,197.74
ORD100084,2025-11-19,CUST3733,Islamabad,Islamabad Capital Territory,Sports,Dumbbell,1513,4,10,250,COD,Delivered,5,7603.18,1507.03
ORD100085,2025-10-07,CUST4009,Karachi,Sindh,Electronics,Mouse,8556,3,10,150,Card,Delivered,5,23251.2,2308.81
ORD100086,2025-05-07,CUST3537,Quetta,Balochistan,Electronics,Power Bank,4353,3,0,300,Card,Delivered,5,13359,1397.33
ORD100087,2025-09-30,CUST3806,Lahore,Punjab,Sports,Yoga Mat,4050,2,20,300,COD,Delivered,5,6780,1011.46
ORD100088,2025-01-26,CUST2841,Karachi,Sindh,Grocery,Tea Pack,1947,3,5,150,COD,Delivered,3,5698.95,472.23
ORD100089,2025-01-13,CUST3559,Lahore,Punjab,Sports,Yoga Mat,2050,4,0,200,COD,Delivered,3,8400,1602.83
ORD100090,2025-05-22,CUST2906,Faisalabad,Punjab,Home Decor,Cushion,3754,4,15,200,COD,Delivered,4,12963.6,2138.35
ORD100091,2025-05-23,CUST2982,Multan,Punjab,Electronics,Earbuds,5106,3,0,250,Card,Delivered,5,15568,3150.96
ORD100092,2025-12-08,CUST4736,Karachi,Sindh,Home Decor,Curtains,2934,3,5,300,COD,Delivered,5,10334.28,1992.2
ORD100093,2025-07-05,CUST3617,Lahore,Punjab,Home Decor,Lamp,1196,2,0,200,JazzCash,Delivered,3,2592,343.98
ORD100094,2025-12-08,CUST2715,Sialkot,Punjab,Home Decor,Cushion,3600,1,0,200,Card,Delivered,4,4520,859.64
ORD100095,2025-06-19,CUST3660,Sialkot,Punjab,Books,Dictionary,751,4,0,300,COD,Delivered,4,3304,462.15
ORD100096,2025-09-21,CUST2595,Lahore,Punjab,Sports,Yoga Mat,4833,1,15,300,Easypaisa,Delivered,4,4408.05,530.23
ORD100097,2025-04-18,CUST1991,Karachi,Sindh,Electronics,Mouse,5210,1,20,150,Easypaisa,Delivered,4,5360,688.22
ORD100098,2025-12-16,CUST3914,Islamabad,Islamabad Capital Territory,Sports,Dumbbell,3765,3,20,150,COD,Delivered,5,10993.2,2245.71
ORD100099,2025-11-07,CUST4675,Peshawar,Khyber Pakhtunkhwa,Sports,Cricket Bat,3368,3,0,200,Easypaisa,Delivered,5,13840.4,1077.35
ORD100100,2025-02-27,CUST2369,Karachi,Sindh,Electronics,Mouse,5808,3,0,200,Card,Delivered,4,17624,2595.24
ORD100101,2025-08-17,CUST2081,Lahore,Punjab,Sports,Dumbbell,5682,1,0,300,Card,Delivered,5,5982,1127.89
ORD100102,2025-05-02,CUST4822,Hyderabad,Sindh,Beauty,Face Wash,1373,1,5,300,COD,Cancelled,,0,-150
ORD100103,2025-10-17,CUST1487,Karachi,Sindh,Fashion,Shoes,2220,1,15,250,Easypaisa,Delivered,4,2137,275.3
ORD100104,2025-08-25,CUST1896,Lahore,Punjab,Sports,Yoga Mat,3249,1,5,300,Card,Delivered,5,3386.55,268.44
ORD100105,2025-09-29,CUST3837,Karachi,Sindh,Books,Exam Guide,1572,1,20,300,COD,Delivered,5,1557.6,164.77
ORD100106,2025-12-15,CUST4147,Lahore,Punjab,Beauty,Serum,1942,3,0,200,Card,Delivered,5,7191.2,1370.53
ORD100107,2025-06-03,CUST4356,Karachi,Sindh,Sports,Cricket Bat,5051,1,15,200,COD,Delivered,5,4493.35,396.25
ORD100108,2025-08-08,CUST4118,Multan,Punjab,Home Decor,Bedsheet,2407,1,10,300,Card,Delivered,5,2466.3,371.8
ORD100109,2025-04-04,CUST3959,Lahore,Punjab,Mobile Accessories,Holder,2079,4,20,150,Card,Delivered,4,8466,1432.09
ORD100110,2025-08-06,CUST3479,Sialkot,Punjab,Electronics,Mouse,8897,2,0,150,COD,Delivered,3,17944,3644.09
ORD100111,2025-12-07,CUST1356,Lahore,Punjab,Fashion,Shoes,1366,2,5,250,COD,Delivered,5,3364.48,378.82
ORD100112,2025-01-23,CUST3569,Multan,Punjab,Beauty,Perfume,1733,2,0,300,Card,Delivered,4,3766,660.22
ORD100113,2025-09-03,CUST4977,Karachi,Sindh,Home Decor,Curtains,2707,3,5,150,JazzCash,Delivered,5,7864.95,897.86
ORD100114,2025-09-07,CUST3489,Karachi,Sindh,Sports,Yoga Mat,3660,3,10,250,Card,Delivered,4,10132,1086.57
ORD100115,2025-04-06,CUST4087,Karachi,Sindh,Books,Dictionary,1027,4,0,200,COD,Delivered,5,5335,583.5
ORD100116,2025-10-07,CUST2782,Lahore,Punjab,Books,Notebook,1186,4,0,150,JazzCash,Delivered,4,4894,902.66
ORD100117,2025-09-15,CUST1851,Hyderabad,Sindh,Grocery,Dates,1229,3,20,250,COD,Delivered,5,3199.6,289.46
ORD100118,2025-06-01,CUST3737,Hyderabad,Sindh,Beauty,Face Wash,1557,4,15,150,COD,Delivered,5,5443.8,823.04
ORD100119,2025-06-12,CUST4498,Karachi,Sindh,Home Decor,Bedsheet,2511,3,15,300,COD,Delivered,4,6703.05,935.78
ORD100120,2025-04-11,CUST4906,Islamabad,Islamabad Capital Territory,Home Decor,Wall Frame,5564,4,5,300,JazzCash,Delivered,3,26729,5274.84
ORD100121,2025-03-06,CUST1089,Lahore,Punjab,Electronics,Power Bank,7688,1,20,200,JazzCash,Delivered,5,7888,1629.77
ORD100122,2025-09-21,CUST4993,Lahore,Punjab,Books,Novel,703,1,5,150,Card,Delivered,5,817.85,86.29
ORD100123,2025-03-31,CUST4267,Lahore,Punjab,Mobile Accessories,Charger,1019,3,15,200,Card,Delivered,4,3448.06,648.73
ORD100124,2025-11-10,CUST2649,Quetta,Balochistan,Grocery,Rice Bag,853,1,15,300,JazzCash,Delivered,4,1278.82,74.26
ORD100125,2025-03-16,CUST4068,Karachi,Sindh,Fashion,Shoes,2816,1,10,150,COD,Cancelled,,0,-75
ORD100126,2025-09-06,CUST4465,Karachi,Sindh,Sports,Yoga Mat,4212,4,15,300,Card,Delivered,5,14620.8,2860.84
ORD100127,2025-12-23,CUST2122,Karachi,Sindh,Sports,Gloves,4415,1,10,250,COD,Delivered,4,5018.2,627.44
ORD100128,2025-02-05,CUST2008,Peshawar,Khyber Pakhtunkhwa,Electronics,Keyboard,8495,2,10,250,COD,Delivered,5,15541,3245.96
ORD100129,2025-04-06,CUST4851,Karachi,Sindh,Grocery,Dates,1429,1,0,150,Easypaisa,Delivered,5,1936.25,144.39
ORD100130,2025-07-02,CUST3326,Karachi,Sindh,Grocery,Dates,1115,1,0,200,COD,Delivered,3,1315,189.77
ORD100131,2025-08-05,CUST3109,Karachi,Sindh,Beauty,Perfume,1405,1,10,250,Easypaisa,Delivered,4,1514.5,204.55
ORD100132,2025-03-25,CUST1728,Karachi,Sindh,Grocery,Dates,636,4,5,150,COD,Delivered,5,3171,525.38
ORD100133,2025-12-08,CUST1395,Karachi,Sindh,Electronics,Mouse,5555,4,10,250,Card,Delivered,5,24247.6,3562.54
ORD100134,2025-08-21,CUST1075,Karachi,Sindh,Home Decor,Curtains,2865,3,15,150,COD,Delivered,5,7455.75,965.24
ORD100135,2025-09-22,CUST4635,Karachi,Sindh,Sports,Cricket Bat,3897,4,0,250,Card,Delivered,5,15838,1797.21
ORD100136,2025-12-05,CUST2390,Rawalpindi,Punjab,Mobile Accessories,Holder,1718,2,10,250,Card,Delivered,5,3960.88,298.4
ORD100137,2025-05-24,CUST3995,Karachi,Sindh,Grocery,Flour,447,1,10,200,COD,Cancelled,,0,-100
ORD100138,2025-02-22,CUST2167,Lahore,Punjab,Electronics,Keyboard,5905,3,10,250,Easypaisa,Delivered,5,16193.5,1566.18
ORD100139,2025-02-26,CUST3635,Karachi,Sindh,Electronics,Earbuds,11443,3,10,150,Easypaisa,Delivered,3,31046.1,3004.5
ORD100140,2025-01-09,CUST1953,Rawalpindi,Punjab,Mobile Accessories,Charger,2054,2,10,250,JazzCash,Cancelled,,0,-125
ORD100141,2025-09-10,CUST3217,Lahore,Punjab,Fashion,Shoes,2273,4,10,250,COD,Delivered,5,8432.8,848.34
ORD100142,2025-10-10,CUST2217,Lahore,Punjab,Electronics,Keyboard,9899,2,20,250,COD,Delivered,5,16088.4,1718.55
ORD100143,2025-01-05,CUST2519,Peshawar,Khyber Pakhtunkhwa,Fashion,T-Shirt,1116,4,15,250,COD,Delivered,4,4044.4,658.56
ORD100144,2025-12-31,CUST2365,Lahore,Punjab,Beauty,Perfume,1849,1,10,300,COD,Delivered,3,2296.92,371.44
ORD100145,2025-05-25,CUST2810,Hyderabad,Sindh,Grocery,Flour,921,3,10,300,COD,Delivered,5,2786.7,390.15
ORD100146,2025-12-30,CUST3214,Rawalpindi,Punjab,Fashion,Abaya,3690,2,0,150,Easypaisa,Delivered,5,9006,1499.18
ORD100147,2025-04-01,CUST4522,Rawalpindi,Punjab,Books,Notebook,650,2,0,150,COD,Delivered,5,1775,254.29
ORD100148,2025-06-22,CUST1753,Lahore,Punjab,Home Decor,Lamp,1887,1,0,300,JazzCash,Delivered,4,2187,144.96
ORD100149,2025-08-08,CUST1828,Hyderabad,Sindh,Home Decor,Bedsheet,4980,4,5,150,COD,Delivered,5,19074,1949.4
ORD100150,2025-12-27,CUST4072,Islamabad,Islamabad Capital Territory,Grocery,Dates,1398,3,10,250,COD,Cancelled,,0,-125
ORD100151,2025-12-14,CUST4480,Karachi,Sindh,Fashion,Handbag,2404,1,0,250,Card,Delivered,5,3134.8,467.33
ORD100152,2025-11-08,CUST1933,Lahore,Punjab,Books,Novel,1026,1,5,200,Easypaisa,Delivered,4,1515.85,218.54
ORD100153,2025-04-27,CUST3811,Karachi,Sindh,Electronics,Power Bank,7170,3,10,300,Card,Delivered,4,24498.75,2927.06
ORD100154,2025-08-17,CUST2250,Karachi,Sindh,Beauty,Face Wash,2419,4,10,150,Card,Delivered,4,8858.4,1613.03
ORD100155,2025-05-27,CUST4376,Hyderabad,Sindh,Beauty,Perfume,1815,1,0,200,COD,Delivered,5,2015,144.04
ORD100156,2025-01-14,CUST4486,Karachi,Sindh,Sports,Dumbbell,4110,3,20,300,Easypaisa,Delivered,5,10164,1617.07
ORD100157,2025-01-01,CUST1470,Lahore,Punjab,Mobile Accessories,Phone Cover,2556,4,10,150,Card,Delivered,5,9351.6,1731.98
ORD100158,2025-01-12,CUST3783,Karachi,Sindh,Electronics,Keyboard,11449,2,10,300,COD,Delivered,5,20908.2,2416.92
ORD100159,2025-09-29,CUST1372,Peshawar,Khyber Pakhtunkhwa,Electronics,Smart Watch,6728,4,10,300,Card,Delivered,3,24520.8,4562.65
ORD100160,2025-01-08,CUST2371,Lahore,Punjab,Grocery,Cooking Oil,1610,2,10,300,Card,Returned,,0,-150
ORD100161,2025-06-13,CUST1539,Lahore,Punjab,Mobile Accessories,Charger,461,2,10,200,COD,Delivered,5,1029.8,141.51
ORD100162,2025-08-08,CUST1040,Islamabad,Islamabad Capital Territory,Beauty,Lipstick,1468,1,5,250,COD,Delivered,3,1644.6,194.12
ORD100163,2025-08-16,CUST3508,Multan,Punjab,Mobile Accessories,Charger,594,4,5,150,Card,Delivered,5,2407.2,230.21
ORD100164,2025-08-08,CUST1924,Sialkot,Punjab,Beauty,Lipstick,2028,4,0,200,JazzCash,Delivered,5,8312,1354.03
ORD100165,2025-02-15,CUST3497,Lahore,Punjab,Electronics,Keyboard,11127,1,10,300,Card,Delivered,5,10314.3,920.31
ORD100166,2025-01-10,CUST1797,Multan,Punjab,Electronics,Mouse,2760,4,10,250,COD,Delivered,4,10186,2067.99
ORD100167,2025-08-30,CUST2824,Quetta,Balochistan,Sports,Football,1991,4,0,200,COD,Delivered,5,8164,1475.84
ORD100168,2025-03-06,CUST1223,Hyderabad,Sindh,Fashion,Shoes,2665,2,20,200,Card,Delivered,5,5530,521.35
ORD100169,2025-08-27,CUST2240,Hyderabad,Sindh,Beauty,Serum,1986,3,0,300,COD,Delivered,5,6258,1225.39
ORD100170,2025-12-08,CUST3842,Lahore,Punjab,Sports,Football,2155,3,10,200,COD,Cancelled,,0,-100
ORD100171,2025-06-26,CUST1510,Lahore,Punjab,Grocery,Cooking Oil,1151,3,15,300,Card,Delivered,5,3235.05,331.72
ORD100172,2025-11-07,CUST1475,Lahore,Punjab,Beauty,Perfume,2579,2,20,200,JazzCash,Delivered,4,5770.64,780.46
ORD100173,2025-07-16,CUST1713,Islamabad,Islamabad Capital Territory,Electronics,Smart Watch,10714,1,20,150,COD,Delivered,5,8721.2,983.04
ORD100174,2025-03-24,CUST4156,Karachi,Sindh,Books,Novel,998,1,0,300,JazzCash,Cancelled,,0,-150
ORD100175,2025-03-19,CUST1716,Lahore,Punjab,Books,Story Book,693,1,5,200,COD,Delivered,4,1022.94,51.7
ORD100176,2025-09-17,CUST1448,Quetta,Balochistan,Mobile Accessories,Phone Cover,1309,2,0,150,COD,Cancelled,,0,-75
ORD100177,2025-10-15,CUST3165,Faisalabad,Punjab,Beauty,Serum,1798,2,10,150,JazzCash,Delivered,4,3386.4,326.62
ORD100178,2025-09-16,CUST4377,Islamabad,Islamabad Capital Territory,Books,Novel,765,3,20,250,COD,Delivered,5,2086,158.17
ORD100179,2025-09-25,CUST4278,Multan,Punjab,Sports,Cricket Bat,2810,3,0,300,Card,Delivered,4,8730,1222.65
ORD100180,2025-08-17,CUST4981,Faisalabad,Punjab,Home Decor,Curtains,6043,1,0,250,COD,Delivered,3,6293,995.51
ORD100181,2025-03-07,CUST3145,Islamabad,Islamabad Capital Territory,Mobile Accessories,Charger,1927,2,10,150,COD,Delivered,4,4485.75,702.72
ORD100182,2025-12-04,CUST2358,Karachi,Sindh,Fashion,Shoes,2543,2,20,150,COD,Delivered,5,5032.56,790.06
ORD100183,2025-12-13,CUST1165,Hyderabad,Sindh,Mobile Accessories,Phone Cover,1958,1,0,250,Card,Delivered,5,2599.6,195.56
ORD100184,2025-12-01,CUST1541,Lahore,Punjab,Sports,Football,2944,4,20,200,COD,Delivered,4,11504.96,1588.76
ORD100185,2025-09-04,CUST3947,Karachi,Sindh,Grocery,Rice Bag,2000,1,5,250,Card,Returned,,0,-125
ORD100186,2025-05-18,CUST4472,Islamabad,Islamabad Capital Territory,Home Decor,Lamp,3454,4,20,200,COD,Cancelled,,0,-100
ORD100187,2025-11-26,CUST1204,Karachi,Sindh,Mobile Accessories,USB Cable,1880,2,0,250,COD,Delivered,5,5326,668.57
ORD100188,2025-05-06,CUST1042,Lahore,Punjab,Beauty,Serum,1496,3,15,300,COD,Cancelled,,0,-150
ORD100189,2025-08-28,CUST4254,Karachi,Sindh,Electronics,Mouse,8188,3,0,300,Card,Delivered,4,24864,3780.98
ORD100190,2025-12-02,CUST2994,Karachi,Sindh,Mobile Accessories,USB Cable,500,3,5,300,Card,Delivered,4,2010,241.93
ORD100191,2025-01-08,CUST4266,Lahore,Punjab,Mobile Accessories,Screen Protector,2152,1,10,250,Card,Delivered,5,2186.8,120.5
ORD100192,2025-12-18,CUST1666,Rawalpindi,Punjab,Mobile Accessories,Screen Protector,1225,3,20,200,JazzCash,Delivered,5,3728,542.33
ORD100193,2025-04-03,CUST4474,Karachi,Sindh,Electronics,Power Bank,7186,3,20,250,COD,Returned,,0,-125
ORD100194,2025-10-04,CUST2489,Karachi,Sindh,Beauty,Serum,2022,1,5,250,COD,Delivered,4,2170.9,140.7
ORD100195,2025-04-02,CUST4584,Lahore,Punjab,Home Decor,Wall Frame,2935,2,0,150,Easypaisa,Delivered,5,7487.5,954.53
ORD100196,2025-05-13,CUST1523,Karachi,Sindh,Home Decor,Curtains,3114,1,0,250,Easypaisa,Returned,,0,-125
ORD100197,2025-12-12,CUST3296,Karachi,Sindh,Beauty,Face Wash,1032,2,10,200,JazzCash,Delivered,5,2429.12,165.73
ORD100198,2025-02-16,CUST3261,Sialkot,Punjab,Mobile Accessories,USB Cable,1068,1,15,150,Card,Delivered,4,1057.8,80.75
